country,year,inflation_rate
Germany,1960,1.53661234295201
Germany,1961,2.29369500700884
Germany,1962,2.84327019799062
Germany,1963,2.9669597758771
Germany,1964,2.33573581177832
Germany,1965,3.24231923668133
Germany,1966,3.53306035477689
Germany,1967,1.79604992213175
Germany,1968,1.470289313277
Germany,1969,1.91267848797596
Germany,1970,3.45024936360895
Germany,1971,5.24097448273094
Germany,1972,5.4849331221432
Germany,1973,7.03202399303898
Germany,1974,6.98643109327497
Germany,1975,5.91033626324104
Germany,1976,4.24663102299209
Germany,1977,3.73416240635147
Germany,1978,2.71869696123339
Germany,1979,4.04362006473399
Germany,1980,5.44105754460347
Germany,1981,6.34424277746325
Germany,1982,5.24104507228422
Germany,1983,3.29341474302854
Germany,1984,2.4057933993196
Germany,1985,2.0662330121658
Germany,1986,-0.129413360854742
Germany,1987,0.24990610870503
Germany,1988,1.27411894006923
Germany,1989,2.78056955569751
Germany,1990,2.69646824292392
Germany,1991,4.04703259753466
Germany,1992,5.05697796731731
Germany,1993,4.47457650752808
Germany,1994,2.69305639854954
Germany,1995,1.70616041317076
Germany,1996,1.44972701963239
Germany,1997,1.93937198922729
Germany,1998,0.911183535014403
Germany,1999,0.585433064230783
Germany,2000,1.44026838719741
Germany,2001,1.98385731334471
Germany,2002,1.42080615551526
Germany,2003,1.03422218628562
Germany,2004,1.66573696655992
Germany,2005,1.54691114751328
Germany,2006,1.57742642840563
Germany,2007,2.29834400700951
Germany,2008,2.62837981637219
Germany,2009,0.312739007368447
Germany,2010,1.1038103778926
Germany,2011,2.07517283735874
Germany,2012,2.00848884782956
Germany,2013,1.50472330251876
Germany,2014,0.906794000434246
Germany,2015,0.514426137125456
Germany,2016,0.491747008445174
Germany,2017,1.50949485109628
Germany,2018,1.73216879766942
Germany,2019,1.44565976888253
Germany,2020,0.144877925813982
Germany,2021,3.06666666666673
Germany,2022,6.87257438551097
Germany,2023,5.94643667725823
Germany,2024,2.2564981433876
